#old_id	new_id
evm.model.jcf7180007900994.1	CcGene_00001
evm.model.jcf7180007901040.1	CcGene_00002
evm.model.jcf7180007901074.1	CcGene_00003
evm.model.jcf7180007901099.1	CcGene_00004
evm.model.jcf7180007901099.2	CcGene_00005
evm.model.jcf7180007901099.3	CcGene_00006
evm.model.jcf7180007901099.4	CcGene_00007
evm.model.jcf7180007901102.1	CcGene_00008
evm.model.jcf7180007901102.2	CcGene_00009
evm.model.jcf7180007901102.3	CcGene_00010
evm.model.jcf7180007901130.1	CcGene_00011
evm.model.jcf7180007901130.2	CcGene_00012
evm.model.jcf7180007901179.1	CcGene_00013
evm.model.jcf7180007901189.1	CcGene_00014
evm.model.jcf7180007901196.1	CcGene_00015
evm.model.jcf7180007901196.2	CcGene_00016
evm.model.jcf7180007901196.3	CcGene_00017
evm.model.jcf7180007901196.4	CcGene_00018
evm.model.jcf7180007901269.1	CcGene_00019
evm.model.jcf7180007901269.2	CcGene_00020
evm.model.jcf7180007901273.1	CcGene_00021
evm.model.jcf7180007901302.1	CcGene_00022
evm.model.jcf7180007901306.1	CcGene_00023
evm.model.jcf7180007901312.1	CcGene_00024
evm.model.jcf7180007901319.1	CcGene_00025
evm.model.jcf7180007901323.1	CcGene_00026
evm.model.jcf7180007901323.2	CcGene_00027
evm.model.jcf7180007901333.1	CcGene_00028
evm.model.jcf7180007901365.1	CcGene_00029
evm.model.jcf7180007901365.2	CcGene_00030
evm.model.jcf7180007901429.1	CcGene_00031
evm.model.jcf7180007901429.2	CcGene_00032
evm.model.jcf7180007901440.1	CcGene_00033
evm.model.jcf7180007901440.2	CcGene_00034
evm.model.jcf7180007901440.3	CcGene_00035
evm.model.jcf7180007901440.4	CcGene_00036
evm.model.jcf7180007901441.1	CcGene_00037
evm.model.jcf7180007901442.1	CcGene_00038
evm.model.jcf7180007901442.2	CcGene_00039
evm.model.jcf7180007901475.1	CcGene_00040
evm.model.jcf7180007901485.1	CcGene_00041
evm.model.jcf7180007901485.2	CcGene_00042
evm.model.jcf7180007901486.1	CcGene_00043
evm.model.jcf7180007901493.1	CcGene_00044
